loan_amount,repayment_rate,default_history,income_level,credit_score,repayment_probability
28968,0.7738712084710861,2,57770,783,1
38021,0.5176025355087621,0,26392,501,1
48896,0.7812656101932107,3,47011,713,0
28883,0.7237636979777342,1,48691,566,0
37734,0.6907667780062425,4,57646,393,1
39963,0.5388029729682466,4,54702,331,1
46529,0.9302250438377018,4,88530,682,0
44483,0.7780659877803701,3,61380,825,1
6757,0.7730839695996201,2,29007,751,1
24281,0.6235782485307859,3,62806,800,1
3535,0.5180341516215101,0,38853,607,0
20030,0.6267982575540754,3,87932,387,1
3270,0.9072164049996155,2,46772,428,0
21707,0.5047340379461496,4,63599,659,1
44695,0.9106966919040138,2,35067,429,1
26861,0.9616968150576994,3,67184,744,0
2476,0.557219175558777,1,56401,483,1
12001,0.7007275106310733,4,86375,832,1
25223,0.7108465983944554,4,57120,560,1
34397,0.57731334195715,3,63694,403,0
14466,0.7412575291884969,1,40697,558,0
35365,0.8164478163572906,2,21242,836,1
19290,0.979228281438242,2,25491,344,1
21681,0.9866713396422433,4,62678,707,1
42404,0.7009615269588525,4,85759,496,1
47832,0.9179918174245535,3,21462,404,0
33674,0.7610832139046902,4,94147,642,1
31808,0.8472963984578912,1,56232,594,1
17260,0.972778501520883,2,72120,312,1
15799,0.8868765345510052,0,27716,416,1
11573,0.6384400956198224,1,51431,364,1
49874,0.5861519307686821,1,46069,708,1
18453,0.7689561136767211,4,80958,748,0
2859,0.9173387033842422,3,94794,443,0
21613,0.9785744674934123,0,57889,584,1
43566,0.5455023222136808,0,69731,694,1
40409,0.63892748761418,0,52289,578,0
17122,0.9858011635708448,3,24532,810,1
15700,0.8447119859121699,0,53140,685,0
39186,0.9783281960348498,2,85893,498,0
31746,0.9509803071335052,2,84886,374,0
44347,0.8168991256189255,3,79649,475,1
24335,0.7117268165447176,4,56731,730,0
9308,0.7221617784620215,2,72861,820,0
28352,0.8200998831583463,1,31599,502,1
9322,0.9997975903424108,4,27427,625,1
30366,0.9771525692196015,2,90678,568,0
26972,0.7631450225149785,1,31829,630,0
48663,0.8661294652300289,3,79235,443,1
42872,0.9416215278459131,4,46585,611,1
48302,0.9839280921781426,3,89544,392,1
21715,0.6572624761832487,0,63694,414,1
28005,0.6677755940416447,2,24453,685,0
1552,0.6388912039611145,4,57540,682,0
41064,0.8040769374675379,3,48101,609,0
42715,0.5487811298324048,4,93772,494,0
24358,0.5452219128636675,1,43867,747,1
8296,0.8073670212705619,1,30285,301,1
35300,0.6111041175312633,4,29125,489,0
33341,0.704584203528597,1,57749,772,0
33861,0.8677644605485605,0,46139,512,1
16979,0.7329486770799818,2,38182,846,1
1405,0.8817978948241678,4,32936,537,0
26042,0.5314983721984096,1,45548,792,1
29905,0.7173412411662754,2,29358,528,0
39901,0.7310210302001404,4,46514,481,0
5727,0.9763175805531941,1,84807,307,1
8380,0.6590892546530762,3,55213,676,0
49641,0.9849861017806767,0,29890,548,1
23942,0.9032392783103016,2,71871,664,1
16268,0.8435460918551735,0,50814,746,1
40695,0.6607601920423605,2,57143,308,0
4514,0.6676014211286272,2,61046,732,1
20415,0.5600221067459465,1,52252,572,1
32263,0.6192135120447971,3,47286,653,0
26820,0.5790617243165317,0,78684,445,1
27305,0.518552085607167,1,60416,465,1
6577,0.8005605349017204,1,46463,371,0
29698,0.6434990845075284,2,50475,705,0
4516,0.6016098120810032,0,77564,604,1
20010,0.8910213808188743,1,41684,563,1
40466,0.9328343244118678,3,42999,637,1
11177,0.7689512393936235,1,80106,687,0
47628,0.6359925756562015,0,65560,431,0
3269,0.901573296897646,0,70655,440,1
8020,0.9895202958789695,2,46039,312,1
39387,0.8786935844256087,4,51140,545,1
13279,0.5612599293688965,3,37184,464,1
4959,0.9863377613183882,4,23417,483,1
6154,0.8404294763956099,3,63602,342,1
4619,0.6985898976595967,2,51528,498,1
42653,0.5351063545585462,1,90451,658,1
13034,0.965122362954421,0,34451,528,1
21296,0.5117252693400864,2,85989,610,1
26305,0.8445311694168296,4,67586,742,1
45205,0.9044683667467455,0,21033,384,0
33858,0.904435612209694,0,52199,820,1
24801,0.8507131577488405,4,26862,586,0
33224,0.5369213068237226,3,43194,727,1
3671,0.525647774819634,3,34923,701,0
49540,0.7481400140468618,1,21702,419,1
33812,0.7832196258751047,1,98503,476,0
40157,0.8558080667348282,2,47717,485,1
16426,0.6866982431731019,2,65264,546,0
21590,0.6457034952750844,2,67410,684,1
47139,0.8235970592783652,1,24294,590,0
25710,0.9245765005158286,2,58505,760,1
16546,0.6215088615292328,4,38144,517,0
28604,0.7690271878345636,1,58069,634,1
6868,0.9364142758219847,2,78510,314,1
48795,0.7556348388848612,4,33758,457,1
2364,0.7321235665298638,0,54232,807,1
4536,0.8532813643923867,2,60722,629,1
46555,0.5733886180672375,4,94409,598,1
10146,0.7090457425053833,1,65633,513,1
2660,0.7727003525945692,1,30848,549,1
30955,0.7742566180478511,3,92000,624,0
10699,0.7749504756675458,4,85661,730,1
31489,0.8912694141642754,1,37685,465,1
28373,0.8708001816911888,4,23627,835,1
41354,0.8642280314446901,4,21392,397,0
16290,0.9477615990275835,4,51671,431,1
45364,0.6972300542653611,2,69607,387,1
33708,0.7033425391312929,2,34706,326,1
5156,0.5617309766581436,4,84239,549,1
38690,0.6033340359143455,0,71023,313,0
33915,0.6210477834287215,3,65066,370,1
3170,0.6279390116150327,2,90813,645,1
1466,0.8241684375036781,3,84761,515,1
31023,0.9702047211899999,3,29781,334,1
8628,0.5537971190861377,3,56964,697,1
4624,0.5187684745502892,3,76148,581,1
46556,0.8208135744309386,2,27058,742,1
23321,0.8309106421362581,2,24423,703,1
44999,0.7835600879989533,1,87258,659,1
41465,0.9201327808712727,0,56582,735,1
26432,0.9122514204700696,3,35987,534,0
3794,0.8509932292145149,3,28405,454,1
48641,0.653088060368636,0,39482,797,1
25242,0.5404893631195673,4,99556,488,0
33859,0.5751808336018545,2,76059,345,0
48495,0.982971893907346,1,78538,609,0
38073,0.5947890253570236,0,71330,733,1
30093,0.695106868867974,0,80798,476,0
11814,0.7416294557970632,0,50898,441,1
48328,0.9720897329880593,3,98554,827,1
42512,0.6330348574113764,4,27642,457,1
23548,0.6448807622515859,3,67985,818,0
45568,0.9095841023928645,4,31983,847,0
40237,0.5712707543990827,3,95779,549,1
29029,0.9670274277744536,1,35559,640,0
36252,0.6895190356164682,2,31969,411,0
39330,0.7392584948158647,3,97540,613,1
18873,0.65386109823794,0,47464,409,0
43599,0.8747907731298747,2,34775,819,1
1362,0.5101485939332724,4,69124,481,1
30537,0.5640636990484122,2,43713,737,0
42382,0.6375343339675835,3,32115,465,1
30773,0.6678281889150561,3,70829,458,1
46869,0.9672774007695163,4,24060,389,1
4624,0.500666117946466,0,57299,364,0
26868,0.5681125713659237,0,79338,649,1
9065,0.5590490331568008,0,93980,718,1
26326,0.9973999691435846,3,27160,497,1
5739,0.9995081732208759,4,94583,448,0
24568,0.6015878015547718,4,88320,709,1
24127,0.9750184815944741,0,92872,689,0
13935,0.6000203331133085,0,41231,632,0
45367,0.5424241496712422,3,36418,395,0
3811,0.8024162670953578,2,34272,694,0
49638,0.8153580917429368,1,94780,514,1
20977,0.9847485872225944,3,52740,774,1
14427,0.8314245021079965,0,42920,359,1
14145,0.9037160021423953,2,65891,812,1
46011,0.8756185870193277,4,67371,791,1
15153,0.7337915273867395,3,61473,669,1
20737,0.8401767427983244,4,38100,633,1
15306,0.6926957179630848,4,50612,567,0
4207,0.6511171149074364,1,32589,406,0
26579,0.7097327359688286,2,44416,375,0
16968,0.8749487778362492,0,56461,632,0
17033,0.7782340543526076,2,39517,636,1
5098,0.9565352398029972,1,97455,466,0
14205,0.6965873261281039,1,62526,309,0
12285,0.7566824116315186,0,64276,689,1
48898,0.6272102558712056,3,22051,373,1
34028,0.8307193144168582,4,71399,326,1
31720,0.8924936205803963,2,30430,530,1
1684,0.5875386000163685,1,43150,732,1
11676,0.778775855556837,2,65970,543,0
44659,0.8786330933128982,2,45120,409,1
14565,0.9618932300341734,4,60486,397,1
26777,0.985460506194898,4,40131,420,0
18604,0.6377055356074113,2,57962,616,1
14016,0.9288483142754441,0,67445,677,0
16028,0.7567204634676579,1,73975,630,0
42038,0.9928301653684963,3,75979,497,1
28379,0.6896159033897691,0,45291,833,1
5613,0.5080085550990294,3,86947,741,1
39826,0.884595022876735,4,45105,752,0
8466,0.8478508556779925,0,51952,464,1
47353,0.7006321373601669,1,50510,746,1
33752,0.7876409174082556,2,68987,543,0
39818,0.7339697410172727,2,26881,379,1
33933,0.5930382223888342,0,46378,558,0
44171,0.804518597948276,0,25548,695,0
3259,0.8671752114053235,0,27527,353,1
1148,0.8235371464132957,0,25916,551,0
8768,0.5897034810436443,0,66890,751,0
3608,0.6524677145076525,2,60888,544,0
9056,0.7410358093629645,1,47508,311,0
49223,0.6404355881936529,0,81799,817,1
43238,0.8010394373870632,1,75827,804,1
29840,0.9635189310054972,3,81420,634,0
33850,0.8088961521635198,1,41924,625,1
11615,0.7980639422912934,2,91828,833,1
18925,0.5367451701394309,2,27421,582,1
31742,0.6612160842509951,1,22517,505,0
39758,0.7846502024216153,2,45935,750,0
2510,0.7230941502703987,2,54460,375,1
1965,0.5170439348708915,3,78150,766,1
47667,0.5139764404396996,2,20995,515,1
38464,0.8221446866924841,0,62568,389,0
39837,0.631121490578332,2,61020,725,0
49147,0.7967447255996147,4,90301,638,1
44748,0.9370451263180464,0,79721,622,1
36828,0.8926519454937933,0,82701,386,1
33513,0.6468074008336682,2,70822,827,1
15052,0.952141450488958,4,52102,355,1
21794,0.686014958059534,1,40415,628,1
11856,0.5985957023880693,2,60316,847,1
34974,0.6069080820406569,3,95419,733,1
44797,0.9869908818666946,0,29459,474,1
14865,0.8500297287493279,2,61571,719,1
8441,0.8315838911134351,0,54062,813,0
39941,0.9209023875687445,0,57168,609,1
47917,0.936382877232292,4,77451,595,1
27977,0.9367494846812863,2,61591,820,1
49634,0.8453535492699502,3,99299,778,0
11774,0.6646277425469311,0,45545,681,1
19553,0.9394002256021605,2,37369,373,1
23356,0.5982466189614115,2,23913,581,1
3431,0.7263744882836782,3,39022,325,0
7528,0.7589217194747319,3,44294,688,1
35278,0.8990271898706247,2,93943,382,1
9652,0.7454097882827014,4,62324,842,1
29542,0.7014587326996282,3,34336,546,0
30265,0.8456513464970442,4,87072,839,1
46504,0.6413302523841387,1,81977,689,1
45107,0.6920084068315516,3,60630,300,1
24026,0.5425651859149905,1,33597,634,1
49330,0.8069607456313501,2,74438,498,1
25033,0.9742964242241303,2,86625,497,1
25415,0.899213188543825,3,41210,303,0
11084,0.9465351020375039,0,80916,399,1
49384,0.6302876175290899,1,57267,332,1
35966,0.9315423807060411,3,77380,732,1
33818,0.6968035622454456,0,92945,708,1
1361,0.6172624882666022,4,41013,363,1
43127,0.9855800264285387,4,29526,756,1
33511,0.6213398747368851,0,37564,552,1
12912,0.7474620472865217,0,83596,468,1
39630,0.6165663619347796,0,57239,693,1
21713,0.5359137094692645,0,73577,812,1
7008,0.7263589660058059,4,31393,323,1
10485,0.677220405651177,2,21802,647,1
49596,0.7769053445462344,0,44388,818,1
48767,0.5329457018310177,0,86253,606,0
27155,0.9225718806510685,0,38400,628,1
25998,0.7716085208659411,4,49881,457,1
13057,0.5812312651459279,1,92014,382,1
30961,0.6725903506081163,0,83847,733,0
27653,0.6332894945941154,4,79933,417,1
48689,0.8563183132680781,0,60797,792,0
33287,0.6960548720895892,0,64725,423,1
25056,0.6311688670405398,3,88557,814,1
10209,0.827380680208228,4,95524,741,1
8891,0.6260975435255456,2,76643,833,1
8957,0.5627025838117881,3,64810,638,1
5037,0.7495837286996685,4,94320,507,1
23672,0.9832264897917546,2,77201,740,0
39888,0.8444346572257402,3,99012,428,1
5378,0.8505352735483498,3,99619,797,0
2281,0.9477537111604328,4,51672,397,1
10646,0.5972480164781484,2,89501,378,1
29517,0.7481197054775306,4,99743,712,0
47069,0.6262402832961673,2,55618,385,0
20030,0.8334808809241505,3,59697,542,1
2572,0.5860630796310935,4,32324,749,1
13954,0.7925895097482495,2,34456,775,1
1687,0.98689273438969,1,90587,580,0
49466,0.8117242753368252,3,29918,421,1
42787,0.8517886521451908,4,46396,521,0
15718,0.9321197393126239,3,99042,727,1
3106,0.8502498745713241,2,60173,362,1
14530,0.6264888483159553,4,24540,518,0
21470,0.7142729303087083,4,56305,407,1
45182,0.7166239336568394,0,43538,680,1
31962,0.9388629453620805,1,21826,783,0
40857,0.6030012647505951,1,91622,600,0
2231,0.8309580281526845,2,89983,608,1
30576,0.5456062255956227,1,41571,549,1
49844,0.6511733824054214,1,66417,664,0
47162,0.7036528835242831,3,24098,700,1
7179,0.6179139173555106,3,22965,579,1
16892,0.8598102363312419,1,35987,495,1
27792,0.8045044485201891,2,71331,378,1
16519,0.6269930434057666,4,44110,464,1
30929,0.8429841173923766,3,70777,475,1
34070,0.5542718540656314,3,86513,693,1
44514,0.8645827259470518,1,32385,457,1
26330,0.5047673391641461,0,60762,592,1
44450,0.7185182771738866,4,69141,403,0
46703,0.5811068963000747,2,94133,633,1
36740,0.9583669193109633,0,41719,497,1
21762,0.9484750535043281,1,98203,833,0
32720,0.8496261160699774,1,65270,727,1
1325,0.7575021935758248,1,47016,646,1
32398,0.6785413872567447,4,73270,556,1
28227,0.5593405183479265,3,54796,484,1
10070,0.6437480063634348,0,38854,302,1
29040,0.7803936256228275,4,68175,722,1
25139,0.5957226380847127,0,71083,724,0
43249,0.9734537419055229,3,39752,385,1
15297,0.7002256490454373,2,96170,725,1
5524,0.6566594966393334,2,26704,563,1
32497,0.5291735284375233,3,22566,616,1
4553,0.7267569884826245,2,27035,787,1
33619,0.9751097930062644,2,54085,745,1
4990,0.9247114511731553,1,43383,846,0
17450,0.9604138822586961,4,86879,721,1
30296,0.9021980860573597,0,82470,841,1
6200,0.5854752922310844,1,38937,432,1
